symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date
BATAINDIA,Bata India Limited,Consumer Cyclical,Footwear & Accessories,35154948096.0,7065410048.0,20.1,13865700352.0,88773967872.0,50.47,5.0,8.47,11.2346,0.0,1342040064.0,2026-07-11,ok,INR,OK,37784500000.0,,6918820000.0,1.721,0.745,86.9,0.04711,0.376,,98264686592.0,5310750208.0,5948760064.0,4295289856.0,5.622304,66.222435,2026-07-12
BATLIBOI,Batliboi Limited,Industrials,Specialty Industrial Machinery,4404320256.0,212408000.0,4.82,858112000.0,3980801280.0,74.22,-34.5,2.87,4.2429,,56780000.0,2026-07-11,ok,INR,OK,4703162000.0,,720608000.0,1.636,1.033,37.078,0.020580001,1.231,,4670669824.0,430972992.0,235222000.0,35592752.0,1.8366815,62.444447,2026-07-12
BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,56749998080.0,8737000448.0,15.4,818000000.0,185606340608.0,71.71,5.1,23.7,27.9287,,6892000256.0,2026-07-11,ok,INR,OK,56994000000.0,,23508000000.0,1.916,1.011,2.758,0.089049995,0.227,,171625332736.0,14791999488.0,10785000448.0,9603375104.0,6.258192,26.954052,2026-07-12
BBL,Bharat Bijlee Limited,Industrials,Electrical Equipment & Parts,22737999872.0,1556800000.0,6.85,3066700032.0,31151398912.0,35.9,23.9,6.05,7.9572,0.0,1200899968.0,2026-07-11,ok,INR,OK,31118200000.0,6020500000.0,4289300000.0,1.464,0.92,15.116,0.02977,0.464,,31575498752.0,2642599936.0,-925000000.0,-2093825024.0,1.5355121,25.973047,2026-07-12
BBOX,Black Box Limited,Technology,Software - Application,63218499584.0,5567300096.0,8.81,11530000384.0,163817504768.0,74.77,9.5,21.27,15.7147,0.0,2175200000.0,2026-07-11,ok,INR,OK,42937000000.0,,14674000000.0,1.83,1.116,89.594,0.07473,0.779,,169851830272.0,5399799808.0,839500032.0,-1694274944.0,12.722057,72.974686,2026-07-12
BBTC,The Bombay Burmah Trading Corporation Limited,Consumer Defensive,Packaged Foods,198534397952.0,37602299904.0,18.94,15904300032.0,106143997952.0,75.25,7.8,28.71,34.7123,0.0,12426699776.0,2026-07-11,ok,INR,OK,145386800000.0,,8641200000.0,1.189,0.671,16.57,0.15627,0.613,,122786324480.0,24824600576.0,24174999552.0,20499537920.0,1.5073076,8.539913,2026-07-12
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,Packaging & Containers,6175860224.0,918003968.0,14.86,2510443008.0,4538522112.0,85.48,14.2,16.37,19.4157,0.0,206370000.0,2026-07-11,ok,INR,OK,4393793000.0,,295219000.0,1.159,0.543,192.896,0.07129,0.07,,7012263424.0,17815000.0,299260992.0,-15072750.0,3.4362967,21.973188,2026-07-12
BCG,Brightcom Group Limited,Communication Services,Advertising Agencies,69280587776.0,17522405376.0,25.29,0.0,19216328704.0,23.7,61.7,9.99,13.5278,1.08,9623266304.0,2026-07-11,ok,INR,OK,119894792000.0,,80114327000.0,6.71,4.705,,0.082159996,0.075,,5061587968.0,14155055104.0,1026489024.0,-5290684416.0,0.18178694,1.9958073,2026-07-12
BCLIND,BCL Industries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,27916568576.0,2510710016.0,8.99,5691612160.0,10106392576.0,60.42,-19.5,14.19,15.6366,4.38,1149771008.0,2026-07-11,ok,INR,OK,16477656000.0,,3703461000.0,2.01,0.757,59.845,0.07818,0.612,,14229447680.0,1975438976.0,3246715904.0,1661505024.0,1.1101745,8.779488,2026-07-12
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories,3480690944.0,196740992.0,5.65,1815580032.0,2660012800.0,74.91,6.2,1.34,11.587,0.0,10864000.0,2026-07-11,ok,INR,OK,3620950000.0,,295121000.0,1.136,0.494,219.532,0.03088,-0.181,,4409536000.0,60014000.0,-116410000.0,-321983008.0,3.2090533,250.71764,2026-07-12
